id,population,city
1887750814,2008000,Sanaa
1887153216,16794,Marib
1887522445,208287,Hajjah
1887321491,234837,Ibb
1887984890,780000,Al Hudaydah
1887871834,66288,Lahij
1887324526,751000,Taizz
1887513055,105542,Sadah
1887135215,191259,Dhamar
1887142998,68747,Saywun
1887788283,37821,Al Bayda
1887090855,45233,Rida
1887172893,37315,'Ataq
1887000479,27404,Al Ghaydah
1887613470,189,Sayhut
1887202594,258132,Al Mukalla
1887877995,152504,ZabÄ«d
1887867886,1000000,Aden
1887452377,11396,Hadiboh
1887657562,54274,Ash Shihr
1175099654,32057,Dzaoudzi
1710176249,1338000,Pretoria
1710999076,33308,Lebowakgomo
1710838885,123669,Potchefstroom
1710616617,62896,Graaff Reinet
1710326039,165976,Rustenburg
1710953731,12091,Brandfort
1710716158,150012,Vryheid
1710271883,1074000,Vereeniging
1710468143,122497,Brits
1710750307,83654,Bethlehem
1710203500,564,Ubomba
1710908010,220045,Polokwane
1710894218,10438,Springbok
1710219075,269707,Thohoyandou
1710690280,750845,Pietermaritzburg
1710817164,4220,Poffader
1710331786,5785,Carnarvon
1710508288,103992,Kroonstad
1710616152,1500,Alexander Bay
1710321800,17122,Bloemhof
1710409701,25153,Hermanus
1710328253,101919,Bethal
1710210449,71373,Upington
1710120942,67245,Tzaneen
1710187274,3331,Vanhynsdorp
1710956370,20191,Musina
1710282622,165264,Kimberley
1710149138,2729000,Durban
1710416691,178921,Klerksdorp
1710480365,431944,Welkom
1710551900,32318,De Aar
1710649877,11236,Prieska
1710078862,68284,Saldanha
1710010705,18164,Middelburg
1710506018,5939,Port St. Johns
